process_name,entity_name,in_flow,out_flow,data_store,data_store_inflow,data_store_outflow
6.1 Cart Management,Visitor,Manage Cart,Cart Details,Cart_TBL,Cart Details,Cart Details
6.1 Cart Management,Customer,Manage Cart,Cart Details,Cart_TBL,Cart Details,Cart Details
6.1 Cart Management,Customer,Checkout Request,Cart Summary,Product_TBL,Stock Enquiry,Stock Details
6.2 Order Processing,Customer,Manage Order,Order Details,Order_TBL,Order Details,Order Details
6.2 Order Processing,Employee,View Order,Order Details,Order_TBL,Order Enquiry,Order Details
6.2 Order Processing,Employee,Update Order Status,Order Status Acknowledgement,Order_TBL,Order Status Details,Order Status Acknowledgement
6.2 Order Processing,6.1 Cart Management,Confirmed Cart,Cart Cleared,,,
6.2 Order Processing,7.0 Payment Management,Payment Confirmation,Payment Request,,,
6.3 Return Handling,Customer,Manage Return Request,Return Request Details,Return_TBL,Return Request Details,Return Request Details
6.3 Return Handling,Employee,Update Return Status,Return Status Acknowledgement,Return_TBL,Return Status Details,Return Status Acknowledgement
6.3 Return Handling,Delivery Agent,Update Return Pickup Status,Return Pickup Status Acknowledgement,Return_TBL,Return Pickup Status Details,Return Pickup Status Acknowledgement
6.3 Return Handling,6.2 Order Processing,Delivered Order Details,Return Outcome,Order_TBL,Order Enquiry,Order Details
